12,1,True
13,1,True
13,2,False
14,1,True
14,2,False
14,3,False
15,1,True
15,2,False
15,3,False
15,4,False
16,1,True
16,2,False
16,3,False
16,4,False
16,5,False
17,1,True
17,2,False
17,3,False
17,4,False
17,5,False
17,6,False
22,1,True
23,1,True
23,2,False
24,1,True
24,2,False
24,3,False
25,1,True
25,2,False
25,3,False
25,4,False
26,1,True
26,2,False
26,3,False
26,4,False
26,5,False
27,1,True
27,2,False
27,3,False
27,4,False
27,5,False
27,6,False
28,1,True
28,2,False
28,3,False
28,4,False
28,8,False
28,9,False
28,12,False
28,13,False
28,14,False
28,18,False
28,19,False
28,22,False
28,23,False
28,24,False
28,28,False
28,29,False
28,32,False
28,33,False
28,34,False
28,38,False
28,39,False
28,42,False
28,43,False
28,44,False
28,48,False
28,49,False
